objectid;filename;youtubeid;vimeoid;title;creator;date;description;subject;location;latitude;longitude;source;identifier;type;format;language;rights;rightsstatement;;;;;;;
coll001;001santojhonny.jpg;;;El Santo Jhonny;Próximamente;1905-07-15;Folk;Anarco Punk;Bogotá, Colombia;43.556;740.451;El Santo Jhonny es un cantautor que comprende la realidad social a través de experiencias propias que se manifiestan en canciones. Su estilo musical se asemeja al folk punk aunque sus referentes toman una amplia gama musical, desde el vallenato, el rap, el folk estadounidense, el blues y el punk latinoamericano. ;pg_9_12_01bl;"Image;StillImage";image/jpeg;eng;Instagram;https://www.instagram.com/elsantojhonny/;;;;;;;
coll002;;;;;;;;;;;;;;;;;;;;;;;;;
coll003;;;;;;;;;;;;;;;;;;;;;;;;;
coll004;;;;;;;;;;;;;;;;;;;;;;;;;
coll005;;;;;;;;;;;;;;;;;;;;;;;;;
coll006;;;;;;;;;;;;;;;;;;;;;;;;;
coll007;;;;;;;;;;;;;;;;;;;;;;;;;
coll008;;;;;;;;;;;;;;;;;;;;;;;;;
coll009;;;;;;;;;;;;;;;;;;;;;;;;;
coll010;;;;;;;;;;;;;;;;;;;;;;;;;
coll011;;;;;;;;;;;;;;;;;;;;;;;;;
coll012;;;;;;;;;;;;;;;;;;;;;;;;;
coll013;;;;;;;;;;;;;;;;;;;;;;;;;
coll014;;;;;;;;;;;;;;;;;;;;;;;;;
